Year ,Region ,Method                                                                     ,value               ,Market                                         ,score                   ,score_direct            ,total_score         ,total_score_direct
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'agricultural land occupation', 'ALOP')"    ,11.5895385          ,"market group for electricity, low voltage"    ,0.004327641934487267    ,0.0026177176063720206   ,14043504387.907305  ,8494678914.729385
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'climate change', 'GWP100')"                ,11.5895385          ,"market group for electricity, low voltage"    ,0.06789442160640478     ,0.04065849607711533     ,220322203679.94482  ,131939697578.59158
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'fossil depletion', 'FDP')"                 ,11.5895385          ,"market group for electricity, low voltage"    ,0.02011935937245638     ,0.0                     ,65288745211.87734   ,0.0
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'freshwater ecotoxicity', 'FETPinf')"       ,11.5895385          ,"market group for electricity, low voltage"    ,0.02653678115002391     ,2.38459654219561e-06    ,86113733105.19739   ,7738184.561168011
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'freshwater eutrophication', 'FEP')"        ,11.5895385          ,"market group for electricity, low voltage"    ,3.517242877450774e-05   ,3.840952755420249e-09   ,114137020.87778628  ,12464.163553974737
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'human toxicity', 'HTPinf')"                ,11.5895385          ,"market group for electricity, low voltage"    ,0.04686127574282786     ,0.0018031708547202692   ,152068156626.5735   ,5851417052.00037
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'ionising radiation', 'IRP_HE')"            ,11.5895385          ,"market group for electricity, low voltage"    ,0.1491574181551246      ,0.025180814164630038    ,484026379275.4363   ,81713524262.25104
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'marine ecotoxicity', 'METPinf')"           ,11.5895385          ,"market group for electricity, low voltage"    ,0.0228903598448621      ,3.157491325228908e-05   ,74280837876.24733   ,102462828.37603806
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'marine eutrophication', 'MEP')"            ,11.5895385          ,"market group for electricity, low voltage"    ,2.615910709917868e-05   ,7.357632332436716e-06   ,84888154.07843529   ,23876037.691973634
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'metal depletion', 'MDP')"                  ,11.5895385          ,"market group for electricity, low voltage"    ,0.013778299803895052    ,0.0                     ,44711558091.69956   ,0.0
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'natural land transformation', 'NLTP')"     ,11.5895385          ,"market group for electricity, low voltage"    ,-5.9781456264930195e-06 ,-3.32373821702048e-07   ,-19399505.69111729  ,-1078576.5768422459
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'ozone depletion', 'ODPinf')"               ,11.5895385          ,"market group for electricity, low voltage"    ,4.676142592148052e-09   ,0.0                     ,15174.413688893099  ,0.0
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'particulate matter formation', 'PMFP')"    ,11.5895385          ,"market group for electricity, low voltage"    ,0.0001514335073365612   ,8.098681273841204e-05   ,491412449.77079034  ,262807939.5827527
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'photochemical oxidant formation', 'POFP')" ,11.5895385          ,"market group for electricity, low voltage"    ,0.0002721437252656183   ,0.00015497132553136668  ,883125650.8198057   ,502892920.21970594
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'terrestrial acidification', 'TAP100')"     ,11.5895385          ,"market group for electricity, low voltage"    ,0.0003817035133494499   ,0.000254833055497427    ,1238654917.79364    ,826951302.1728188
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'terrestrial ecotoxicity', 'TETPinf')"      ,11.5895385          ,"market group for electricity, low voltage"    ,1.7624694210018148e-05  ,2.912247291416932e-06   ,57193380.18736508   ,9450448.58951123
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'urban land occupation', 'ULOP')"           ,11.5895385          ,"market group for electricity, low voltage"    ,0.002802035588535765    ,2.3082762112521924e-06  ,9092803812.877514   ,7490519.685303596
2020 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'water depletion', 'WDP')"                  ,11.5895385          ,"market group for electricity, low voltage"    ,0.0008275296795631468   ,0.0006799696301794671   ,2685392382.733131   ,2206549578.1827946
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'agricultural land occupation', 'ALOP')"    ,17.3480724          ,"market group for electricity, low voltage"    ,0.0036622335133804492   ,0.0017079153806232347   ,17789153798.032513  ,8296131109.315122
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'climate change', 'GWP100')"                ,17.3480724          ,"market group for electricity, low voltage"    ,0.0722703011239922      ,0.03024861328707683     ,351050116555.26904  ,146931437325.06705
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'fossil depletion', 'FDP')"                 ,17.3480724          ,"market group for electricity, low voltage"    ,0.02346101554085121     ,0.0                     ,113960950930.45934  ,0.0
